downsampling_rate,frame_lenght_in_s,dbFSthresh,duration_time,accuracy,latency
16000.0,0.0004,-90.0,0.005,0.9611111111111111,9.536732302771675
16000.0,0.0004,-80.0,0.1,0.6644444444444444,9.539579020606146
16000.0,0.0004,-80.0,0.15,0.5255555555555556,9.511866569519043
16000.0,0.0004,-80.0,0.2,0.41555555555555557,9.613809850480822
16000.0,0.0004,-80.0,0.05,0.8033333333333333,9.524398114946154
16000.0,0.0004,-80.0,0.01,0.9055555555555556,9.519076877170138
16000.0,0.0004,-80.0,0.005,0.9222222222222223,9.47238498263889
16000.0,0.0002,-130.0,0.1,0.8766666666666667,9.372889995574951
16000.0,0.0002,-130.0,0.15,0.8733333333333333,9.393119547102186
16000.0,0.0002,-130.0,0.2,0.86,9.35496621661716
16000.0,0.0002,-130.0,0.05,0.8788888888888889,9.142515924241808
16000.0,0.0002,-130.0,0.01,0.8811111111111111,9.174038039313423
16000.0,0.0002,-130.0,0.005,0.8811111111111111,9.179128805796305
16000.0,0.0002,-120.0,0.1,0.8755555555555555,9.278625117407906
16000.0,0.0002,-120.0,0.15,0.8622222222222222,9.123977820078531
16000.0,0.0002,-120.0,0.2,0.8411111111111111,9.171712663438585
16000.0,0.0002,-120.0,0.05,0.8788888888888889,9.121083418528238
16000.0,0.0002,-120.0,0.01,0.88,9.211754533979628
16000.0,0.0002,-120.0,0.005,0.88,9.176377720303005
16000.0,0.0002,-110.0,0.1,0.8666666666666667,9.22592798868815
16000.0,0.0002,-110.0,0.15,0.8466666666666667,9.166083600785997
16000.0,0.0002,-110.0,0.2,0.8055555555555556,9.164282745785183
16000.0,0.0002,-110.0,0.05,0.8755555555555555,9.176238112979465
16000.0,0.0002,-110.0,0.01,0.88,9.148647255367704
16000.0,0.0002,-110.0,0.005,0.88,9.113634957207575
16000.0,0.0002,-100.0,0.1,0.8522222222222222,9.160983562469482
16000.0,0.0002,-100.0,0.15,0.8022222222222222,9.1707444190979
16000.0,0.0002,-100.0,0.2,0.74,9.18777412838406
16000.0,0.0002,-100.0,0.05,0.87,9.161342514885797
16000.0,0.0002,-100.0,0.01,0.88,9.205095503065323
16000.0,0.0002,-100.0,0.005,0.88,9.19316742155287
16000.0,0.0002,-90.0,0.1,0.9344444444444444,9.190140300326878
16000.0,0.0002,-90.0,0.15,0.8588888888888889,9.148238499959309
16000.0,0.0002,-90.0,0.2,0.7511111111111111,9.165616035461426
